SubhaloBHMass,SubhaloBHMdot,SubhaloFlag,SubhaloGasMetallicity,SubhaloGasMetallicityHalfRad,SubhaloGasMetallicityMaxRad,SubhaloGasMetallicitySfr,SubhaloGasMetallicitySfrWeighted,SubhaloGrNr,SubhaloHalfmassRad,SubhaloIDMostbound,SubhaloLen,SubhaloMass,SubhaloMassInHalfRad,SubhaloMassInMaxRad,SubhaloMassInRad,SubhaloParent,SubhaloSFR,SubhaloSFRinHalfRad,SubhaloSFRinMaxRad,SubhaloSFRinRad,SubhaloStarMetallicity,SubhaloStarMetallicityHalfRad,SubhaloStarMetallicityMaxRad,SubhaloStellarPhotometricsMassInRad,SubhaloStellarPhotometricsRad,SubhaloVelDisp,SubhaloVmax,SubhaloVmaxRad,SubhaloWindMass,SubhaloCM-X,SubhaloCM-Y,SubhaloCM-Z,SubhaloPos-X,SubhaloPos-Y,SubhaloPos-Z,SubhaloSpin-X,SubhaloSpin-Y,SubhaloSpin-Z,SubhaloVel-X,SubhaloVel-Y,SubhaloVel-Z,SubhaloHalfmassRadType-GAS,SubhaloHalfmassRadType-DM,SubhaloHalfmassRadType-UNUSED,SubhaloHalfmassRadType-TRACERS,SubhaloHalfmassRadType-STARS_WIND,SubhaloHalfmassRadType-BLACK_HOLES,SubhaloMassInHalfRadType-GAS,SubhaloMassInHalfRadType-DM,SubhaloMassInHalfRadType-UNUSED,SubhaloMassInHalfRadType-TRACERS,SubhaloMassInHalfRadType-STARS_WIND,SubhaloMassInHalfRadType-BLACK_HOLES,SubhaloMassInMaxRadType-GAS,SubhaloMassInMaxRadType-DM,SubhaloMassInMaxRadType-UNUSED,SubhaloMassInMaxRadType-TRACERS,SubhaloMassInMaxRadType-STARS_WIND,SubhaloMassInMaxRadType-BLACK_HOLES,SubhaloMassInRadType-GAS,SubhaloMassInRadType-DM,SubhaloMassInRadType-UNUSED,SubhaloMassInRadType-TRACERS,SubhaloMassInRadType-STARS_WIND,SubhaloMassInRadType-BLACK_HOLES,SubhaloMassType-GAS,SubhaloMassType-DM,SubhaloMassType-UNUSED,SubhaloMassType-TRACERS,SubhaloMassType-STARS_WIND,SubhaloMassType-BLACK_HOLES,SubhaloLenType-GAS,SubhaloLenType-DM,SubhaloLenType-UNUSED,SubhaloLenType-TRACERS,SubhaloLenType-STARS_WIND,SubhaloLenType-BLACK_HOLES,SubhaloGasMetalFractions-H,SubhaloGasMetalFractions-He,SubhaloGasMetalFractions-C,SubhaloGasMetalFractions-N,SubhaloGasMetalFractions-O,SubhaloGasMetalFractions-Ne,SubhaloGasMetalFractions-Mg,SubhaloGasMetalFractions-Si,SubhaloGasMetalFractions-Fe,SubhaloGasMetalFractions-Total,SubhaloGasMetalFractionsHalfRad-H,SubhaloGasMetalFractionsHalfRad-He,SubhaloGasMetalFractionsHalfRad-C,SubhaloGasMetalFractionsHalfRad-N,SubhaloGasMetalFractionsHalfRad-O,SubhaloGasMetalFractionsHalfRad-Ne,SubhaloGasMetalFractionsHalfRad-Mg,SubhaloGasMetalFractionsHalfRad-Si,SubhaloGasMetalFractionsHalfRad-Fe,SubhaloGasMetalFractionsHalfRad-Total,SubhaloGasMetalFractionsMaxRad-H,SubhaloGasMetalFractionsMaxRad-He,SubhaloGasMetalFractionsMaxRad-C,SubhaloGasMetalFractionsMaxRad-N,SubhaloGasMetalFractionsMaxRad-O,SubhaloGasMetalFractionsMaxRad-Ne,SubhaloGasMetalFractionsMaxRad-Mg,SubhaloGasMetalFractionsMaxRad-Si,SubhaloGasMetalFractionsMaxRad-Fe,SubhaloGasMetalFractionsMaxRad-Total,SubhaloGasMetalFractionsSfr-H,SubhaloGasMetalFractionsSfr-He,SubhaloGasMetalFractionsSfr-C,SubhaloGasMetalFractionsSfr-N,SubhaloGasMetalFractionsSfr-O,SubhaloGasMetalFractionsSfr-Ne,SubhaloGasMetalFractionsSfr-Mg,SubhaloGasMetalFractionsSfr-Si,SubhaloGasMetalFractionsSfr-Fe,SubhaloGasMetalFractionsSfr-Total,SubhaloGasMetalFractionsSfrWeighted-H,SubhaloGasMetalFractionsSfrWeighted-He,SubhaloGasMetalFractionsSfrWeighted-C,SubhaloGasMetalFractionsSfrWeighted-N,SubhaloGasMetalFractionsSfrWeighted-O,SubhaloGasMetalFractionsSfrWeighted-Ne,SubhaloGasMetalFractionsSfrWeighted-Mg,SubhaloGasMetalFractionsSfrWeighted-Si,SubhaloGasMetalFractionsSfrWeighted-Fe,SubhaloGasMetalFractionsSfrWeighted-Total,SubhaloStarMetalFractions-H,SubhaloStarMetalFractions-He,SubhaloStarMetalFractions-C,SubhaloStarMetalFractions-N,SubhaloStarMetalFractions-O,SubhaloStarMetalFractions-Ne,SubhaloStarMetalFractions-Mg,SubhaloStarMetalFractions-Si,SubhaloStarMetalFractions-Fe,SubhaloStarMetalFractions-Total,SubhaloStarMetalFractionsHalfRad-H,SubhaloStarMetalFractionsHalfRad-He,SubhaloStarMetalFractionsHalfRad-C,SubhaloStarMetalFractionsHalfRad-N,SubhaloStarMetalFractionsHalfRad-O,SubhaloStarMetalFractionsHalfRad-Ne,SubhaloStarMetalFractionsHalfRad-Mg,SubhaloStarMetalFractionsHalfRad-Si,SubhaloStarMetalFractionsHalfRad-Fe,SubhaloStarMetalFractionsHalfRad-Total,SubhaloStarMetalFractionsMaxRad-H,SubhaloStarMetalFractionsMaxRad-He,SubhaloStarMetalFractionsMaxRad-C,SubhaloStarMetalFractionsMaxRad-N,SubhaloStarMetalFractionsMaxRad-O,SubhaloStarMetalFractionsMaxRad-Ne,SubhaloStarMetalFractionsMaxRad-Mg,SubhaloStarMetalFractionsMaxRad-Si,SubhaloStarMetalFractionsMaxRad-Fe,SubhaloStarMetalFractionsMaxRad-Total,SubhaloStellarPhotometrics-U,SubhaloStellarPhotometrics-B,SubhaloStellarPhotometrics-V,SubhaloStellarPhotometrics-K,SubhaloStellarPhotometrics-g,SubhaloStellarPhotometrics-r,SubhaloStellarPhotometrics-i,SubhaloStellarPhotometrics-z,SubhaloIDRaw,SubhaloBfldDisk,SubhaloBfldHalo
0.12237,4.654958e-05,True,0.006233208,0.007215139,0.0042222864,0.009792143,0.010098626,0,477.71832,108026092178,23947913,7653.2993,350.7191,5002.328,1069.921,0,199.38522,41.122185,197.28036,122.94602,0.020684076,0.024138862,0.01683242,12.796487,7.60713,537.061,830.5925,608.4242,0.113410935,950.59564,28166.955,19489.55,899.176,28360.656,19197.637,-11463.168,5885.249,572.8958,41.79566,-370.13065,-171.60036,458.8715,483.78262,0.0,0.0,93.25747,0.0,17.626062,305.89975,0.0,0.0,27.071154,0.12210452,702.726,4251.887,0.0,0.0,47.592556,0.12210452,91.13568,944.4163,0.0,0.0,34.246883,0.12210452,1002.7702,6596.264,0.0,0.0,54.142384,0.12237543,10120065,13047072,0,0,780772,4,0.7470542,0.24671258,0.0006513084,0.00020302649,0.0032409367,0.0010549686,0.00030856873,0.00027724463,0.00031993756,0.00017721682,0.7451612,0.24762368,0.0007378375,0.00023048307,0.0037674198,0.001226578,0.00035842066,0.00032147873,0.00036827303,0.00020464833,0.75109124,0.24468644,0.00044733493,0.00014019098,0.0021883778,0.0007079252,0.0002081569,0.00018816437,0.00022054704,0.00012158926,0.7410816,0.24912627,0.00092392944,0.0002783027,0.0052711084,0.0017012594,0.0004978484,0.00043407278,0.00042878184,0.00025683932,0.7405535,0.24934787,0.00094495673,0.00028239473,0.005452683,0.0017591729,0.0005146414,0.00044709077,0.00043506426,0.0002626215,0.7257948,0.2535211,0.00210154,0.00059047143,0.011016534,0.003696156,0.0010664158,0.00087446533,0.00084415777,0.00049433653,0.7202812,0.25557995,0.0024870732,0.00069304195,0.012806035,0.0043278653,0.0012437389,0.0010156276,0.0009908855,0.0005745939,0.7318749,0.2512927,0.0016813708,0.00047810675,0.009007022,0.0029930752,0.00086815277,0.0007162602,0.0006834308,0.00040500215,-25.360853,-25.126312,-25.471117,-27.604704,-25.385092,-25.640596,-25.792337,-25.910374,51000000000000,,
0.120829135,2.1452262e-05,True,0.013624421,0.0,0.0,0.010627819,0.010614821,0,6.3284397,107698954097,275247,32.28028,10.221235,8.034409,15.58941,0,0.2263694,0.0,0.0,0.003381683,0.034613047,0.035779852,0.03691126,12.640587,7.1791515,263.83438,557.54333,2.2207463,0.0,887.8611,28485.75,19362.344,887.8137,28485.793,19362.473,-122.51122,-92.53214,-162.51756,89.48292,-478.2881,-706.3222,21.071573,11.081953,0.0,0.0,2.952134,0.0,0.0,2.1471741,0.0,0.0,7.9532056,0.120856166,0.0,1.4034742,0.0,0.0,6.510078,0.120856166,0.0017548228,4.497083,0.0,0.0,10.969715,0.120856166,0.038607925,16.214273,0.0,0.0,15.906543,0.120856166,321,32071,0,0,242854,1,0.7334072,0.25296837,0.0013056203,0.0005030532,0.00672795,0.0022128767,0.00064207264,0.00064689736,0.0010737889,0.0005121622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7392415,0.2501307,0.0010519602,0.00034863016,0.0054705776,0.0017838763,0.0005191705,0.00048354117,0.0006364626,0.00033360015,0.7392833,0.25010186,0.001050881,0.000346302,0.0054719076,0.0017838939,0.00051908515,0.00048225187,0.0006293935,0.0003311054,0.7035536,0.2618333,0.0036911345,0.001006444,0.018197466,0.0062687155,0.0017844434,0.0014344027,0.0014230427,0.00080739864,0.70154834,0.26267183,0.0038097051,0.0010416843,0.018818837,0.0064863744,0.0018463228,0.001481624,0.0014638163,0.00083148945,0.69971865,0.2633701,0.00393886,0.0010789934,0.019396117,0.0066935765,0.0019044081,0.0015277237,0.0015136818,0.00085790135,-22.095818,-22.42921,-23.186666,-26.002346,-22.844519,-23.487535,-23.792145,-24.023245,50000000000007,2.0457675457000732,2.803908109664917
0.02521977,0.0008292271,True,0.006061198,0.007767276,0.0041905995,0.009802719,0.010571475,0,415.7237,106886195455,21734220,6915.8496,411.58987,5075.1577,1244.535,0,194.86835,27.986343,194.28659,122.3265,0.016348412,0.019234942,0.013735439,7.636044,10.705039,566.6563,868.3369,578.32556,0.13389486,928.617,28327.678,19469.863,899.2953,28465.271,19302.732,-2622.0388,4508.323,5855.713,31.835304,-354.1952,-154.18428,412.12708,418.25894,0.0,0.0,96.58364,0.0,21.620522,365.7835,0.0,0.0,24.161234,0.024608156,702.8762,4327.9873,0.0,0.0,44.26862,0.02521977,115.186356,1096.0416,0.0,0.0,33.28243,0.024608156,917.8354,5949.6665,0.0,0.0,48.322617,0.02521977,9280584,11768135,0,0,685499,2,0.7474096,0.24652922,0.0006380927,0.0001985322,0.003146334,0.0010244588,0.00029975065,0.00026931346,0.00031220028,0.00017251613,0.74412525,0.24810745,0.00084094494,0.00026033176,0.003979453,0.0013175415,0.0003820305,0.000343324,0.00041911466,0.00022453579,0.75114286,0.24466652,0.00044471194,0.00013904148,0.0021717895,0.0007022508,0.00020657894,0.0001866964,0.00021886459,0.000120665594,0.74109465,0.2491026,0.0009416368,0.00028203859,0.005248445,0.0016986873,0.0004965904,0.00043378366,0.00044134178,0.00026019465,0.73973,0.24969849,0.0010290459,0.00030474062,0.0056400825,0.001838153,0.00053540524,0.00046522645,0.00047917082,0.00027965056,0.73312414,0.25052747,0.0016222256,0.00046699855,0.008758784,0.0028800517,0.00083987083,0.0007022207,0.000676193,0.00040206747,0.72853184,0.2522332,0.0019515133,0.0005547946,0.010241467,0.0034012864,0.0009863516,0.000821255,0.00080618577,0.00047208936,0.73714215,0.24912244,0.0013400055,0.00038973492,0.007393074,0.0024109427,0.00070636993,0.0005929842,0.00056342414,0.0003389032,-25.31687,-25.085249,-25.438282,-27.573149,-25.347076,-25.609858,-25.76188,-25.878769,50000000000000,0.5712563991546631,0.1457870900630951
0.0,0.0,True,0.00041217034,0.00046204685,0.00037891234,0.00033178765,0.00032750476,33180,23.008783,5722475044,857,0.34964523,0.054529633,0.23379141,0.16762286,0,0.026270824,0.012200677,0.026270824,0.026270824,6.1851244e-07,1.7025721e-06,6.1851244e-07,0.0,1.0,34.405766,53.62002,28.811298,0.0,73932.695,31888.22,24370.836,73922.625,31880.066,24371.42,-12.132803,-0.91904885,2.9888034,75.7674,-184.38235,-194.67995,17.971052,23.411652,0.0,0.0,11.050583,0.0,0.004401899,0.050051857,0.0,0.0,7.5880555e-05,0.0,0.016690984,0.21689138,0.0,0.0,0.00020905824,0.0,0.013719214,0.15369458,0.0,0.0,0.00020905824,0.0,0.021824019,0.32761213,0.0,0.0,0.00020905824,0.0,207,648,0,0,2,0,0.7594013,0.2401865,1.3657405e-05,4.273294e-06,0.00027528233,5.7271063e-05,2.3122044e-05,2.0439877e-05,8.2531205e-06,9.871219e-06,0.75930905,0.24022888,1.4308624e-05,3.4027828e-06,0.00031076296,6.540352e-05,2.6459604e-05,2.2419294e-05,8.632386e-06,1.0657676e-05,0.75944716,0.2401739,1.2647222e-05,4.4401395e-06,0.00025233428,5.2500785e-05,2.116522e-05,1.8815157e-05,7.841338e-06,9.168186e-06,0.75954694,0.2401213,1.0369678e-05,1.9786773e-06,0.00022568007,4.5964916e-05,1.887375e-05,1.6150858e-05,5.2584614e-06,7.5112603e-06,0.7595528,0.24011973,1.0181894e-05,1.906574e-06,0.00022291331,4.539349e-05,1.86566e-05,1.591219e-05,5.149697e-06,7.3910164e-06,0.75999874,0.24000062,1.9582696e-08,2.6111264e-09,4.2127516e-07,8.639668e-08,3.460248e-08,3.1092142e-08,8.693658e-09,1.42585135e-08,0.7599966,0.24000171,5.37661e-08,7.006729e-09,1.1604678e-06,2.3784568e-07,9.514727e-08,8.547592e-08,2.3765349e-08,3.9097237e-08,0.75999874,0.24000062,1.9582696e-08,2.6111264e-09,4.2127516e-07,8.639668e-08,3.460248e-08,3.1092142e-08,8.693658e-09,1.42585135e-08,-14.082548,-13.614782,-13.611361,-14.316246,-13.764332,-13.614108,-13.528323,-13.459407,10000000120548,,
0.0,0.0,True,0.0,0.0,0.00029465894,0.00018788486,0.00017932145,28318,21.038092,5722942744,572,0.21720378,0.0,0.11312347,0.0,0,0.015434882,0.0,0.015434882,0.0,0.0,0.0,1.7025721e-06,0.0,1.0,28.651012,44.128666,21.479284,0.0,73911.375,31938.979,24419.662,73905.734,31937.266,24419.418,-8.545954,-2.711978,9.287828,66.87197,-192.59494,-193.50417,22.657242,20.99832,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009397476,0.10364273,0.0,0.0,8.325953e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019946547,0.19717398,0.0,0.0,8.325953e-05,0.0,181,390,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7596133,0.24009208,5.8558862e-06,6.195295e-07,0.00020954563,4.2123058e-05,1.7146402e-05,1.2229107e-05,1.7345392e-06,5.4047796e-06,0.759756,0.24005608,3.396623e-06,1.4174952e-07,0.00013718515,2.4301371e-05,1.127426e-05,7.722405e-06,5.8773105e-07,3.275558e-06,0.75976706,0.2400536,3.2426253e-06,1.3643353e-07,0.00013095912,2.3129893e-05,1.0767275e-05,7.3898577e-06,5.631306e-07,3.1331208e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7599966,0.24000171,5.37661e-08,7.006729e-09,1.1604678e-06,2.3784568e-07,9.514727e-08,8.547592e-08,2.3765349e-08,3.9097237e-08,-14.449519,-13.433858,-13.140316,-12.615697,-13.488659,-13.016155,-12.726619,-12.405723,9000000100197,,
0.0,0.0,True,0.0,0.0,0.00079157867,0.00087234663,0.00089682674,28318,6.581626,5722492744,77,0.02696471,0.0,0.014356065,0.0,0,0.01193959,0.0,0.0027327896,0.0,0.0,0.0,8.4849366e-10,0.0,1.0,17.855673,27.917133,6.886789,0.0,73896.164,31923.537,24442.307,73894.67,31919.135,24442.182,-3.7485979,0.51703,0.39451602,100.700134,-158.80998,-197.23933,7.8866754,6.3587313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001074081,0.013144932,0.0,0.0,0.00013705155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0035712405,0.023256417,0.0,0.0,0.00013705155,0.0,30,46,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7588487,0.24035971,2.8607781e-05,9.905133e-06,0.00052014954,0.000110772904,4.3312328e-05,4.082583e-05,1.7945084e-05,2.0060124e-05,0.7588272,0.24030045,2.952024e-05,4.605305e-06,0.00059026264,0.00012119665,4.855454e-05,4.3775006e-05,1.4068162e-05,2.036408e-05,0.75879943,0.24030373,3.0085068e-05,4.3894743e-06,0.00060801517,0.00012467182,4.9959726e-05,4.4864326e-05,1.40403945e-05,2.0800782e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.24,1.0604091e-10,1.0664705e-10,1.05827125e-10,1.0568663e-10,1.0591256e-10,1.05935365e-10,1.06271596e-10,1.0617241e-10,-13.853267,-13.392089,-13.346837,-13.836324,-13.529718,-13.324136,-13.199457,-13.117718,9000000100199,,
0.0,0.0,True,0.0,0.0,1.0005935e-09,1.0591816e-09,1.0405122e-09,142809,13.009486,5722968044,195,0.0676694,0.0,0.031537697,0.0,0,0.006691465,0.0,0.0054544895,0.0,0.0,0.0,0.0,0.0,0.0,20.552034,34.70194,11.704262,0.0,73849.695,32159.887,24626.537,73847.766,32160.816,24633.793,0.90020186,-8.260335,6.7417693,47.99824,-181.0663,-177.60063,17.177137,12.35339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0027199606,0.028817736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008517208,0.059152193,0.0,0.0,0.0,0.0,78,117,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.24,1.2249812e-10,1.2259296e-10,1.4014023e-10,1.2435684e-10,1.231577e-10,1.2290706e-10,1.2254121e-10,1.2239934e-10,0.76,0.24,1.1818006e-10,1.1539817e-10,2.151145e-10,1.3374564e-10,1.2214628e-10,1.2095036e-10,1.1621725e-10,1.1742939e-10,0.76,0.24,1.1879786e-10,1.170715e-10,1.9505825e-10,1.3088505e-10,1.218094e-10,1.2090266e-10,1.1767932e-10,1.1830814e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e+37,1e+37,1e+37,1e+37,1e+37,1e+37,1e+37,1e+37,5000000217998,,
0.0,0.0,True,0.0,0.0,9.409615e-10,9.168475e-10,9.1565727e-10,226537,9.718172,5722500344,122,0.044753894,0.0,0.017443296,0.0,0,0.005158146,0.0,0.005158146,0.0,0.0,0.0,0.0,0.0,0.0,21.05706,33.64102,7.502642,0.0,73830.4,32222.895,24689.535,73829.2,32219.164,24688.002,-3.8792493,-3.4490454,-2.3403306,43.43704,-178.40771,-176.18018,9.1918955,9.718172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017704925,0.015672803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004307949,0.040445942,0.0,0.0,0.0,0.0,42,80,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.24,1.1763007e-10,1.1775154e-10,1.1739958e-10,1.175872e-10,1.175913e-10,1.1760981e-10,1.177496e-10,1.1764245e-10,0.76,0.24,1.1462119e-10,1.1482444e-10,1.1424009e-10,1.1455108e-10,1.1455661e-10,1.1458794e-10,1.148235e-10,1.14642636e-10,0.76,0.24,1.1447107e-10,1.14661454e-10,1.1411636e-10,1.1440578e-10,1.14410766e-10,1.1444007e-10,1.1466062e-10,1.1449112e-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e+37,1e+37,1e+37,1e+37,1e+37,1e+37,1e+37,1e+37,4000000282702,,2.694676481951319e-07
0.0,0.0,True,0.0,0.0,7.9992346e-10,0.0,0.0,1185518,5.85081,5722497944,22,0.007948617,0.0,0.0044536623,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.875821,18.876064,6.584265,0.0,73837.3,32206.297,24672.357,73837.41,32205.354,24671.28,-0.17312258,0.28033382,0.81336784,59.609386,-150.35774,-164.94704,5.925434,5.013521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00040906793,0.0040445942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00087057747,0.00707804,0.0,0.0,0.0,0.0,8,14,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.76,0.24,9.9970726e-11,1.0004765e-10,9.99984e-11,9.99621e-11,9.996773e-11,9.9970573e-11,1.00031775e-10,9.9974494e-11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1e+37,1e+37,1e+37,1e+37,1e+37,1e+37,1e+37,1e+37,4000001191470,,5.242725933385373e-07
0.0,0.0,True,0.0,0.0,3.4260572e-06,5.4699856e-05,4.075597e-05,2084,15.477727,5797187143,547,0.19727847,0.0,0.07863872,0.0,0,0.060939435,0.0,0.043064155,0.0,0.0,0.0,0.0,0.0,1.0,36.33186,59.944336,12.220228,0.0,74357.984,31710.99,21733.773,74355.48,31708.338,21730.03,2.138031,-4.017165,0.33036554,54.9699,-137.58835,-22.11575,22.452744,15.180517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006341592,0.072297126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020687265,0.17644542,0.0,0.0,0.0001457801,0.0,197,349,0,0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75999546,0.24000113,8.6585246e-08,2.0830402e-09,2.4530846e-06,4.6261607e-07,1.9341454e-07,1.4880068e-07,1.4524676e-08,6.494826e-08,0.75992554,0.24001975,1.5195742e-06,3.080502e-08,3.8236845e-05,7.73957e-06,3.1535621e-06,2.5440004e-06,3.5732913e-07,1.1181725e-06,0.75994456,0.2400147,1.1327039e-06,2.3021949e-08,2.8493796e-05,5.763712e-06,2.349649e-06,1.8944578e-06,2.659955e-07,8.326351e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.681216,-13.827262,-13.60778,-13.310678,-13.907334,-13.508064,-13.256396,-13.019927,2000000005930,,5.052753522249986e-07
